Kodama of the East Tree	G	bS	2
Kardur, Doomscourge	BR	lkpS	2
Moraug, Fury of Akoum	R	kdb	2
Torbran, Thane of Red Fell	R		1
Chatterfang, Squirrel General	BG	txC	2
Arasta of the Endless Web	G	ts	1
Elesh Norn, Mother of Machines	W	f	2
Yahenni, Undying Partisan	B	cxS	2
Heliod, Sun-Crowned	W	cel	3
The Reality Chip	U	vPR	2
Karlach, Fury of Avernus	R	k	2
Jhoira, Weatherlight Captain	UR	r	1
K'rrik, Son of Yawgmoth	B	cS	2
Lathliss, Dragon Queen	R	tybD	2
Anim Pakal, Thousandth Moon	WR	tcky	2
Ghalta, Stampede Tyrant	G	bD	1
Sakashima of a Thousand Faces	U	q	2
Nezahal, Primal Tide	U	srbD	3
Krenko, Mob Boss	R	ty	1
Muldrotha, the Gravetide	UBG	gb	1
Drakuseth, Maw of Flames	R	kpbD	1
Marvin, Murderous Mimic	C	R	1
Vilis, Broker of Blood	B	rbS	2
Kozilek, Butcher of Truth	C	rbD	2
Skrelv, Defector Mite	W	niR	2
Gisela, Blade of Goldnight	WR	K	3
Titania, Protector of Argoth	G	tgd	2
Lumra, Bellow of the Woods	G	gdC	2
Kediss, Emberclaw Familiar	R	C	1
Kambal, Profiteering Mayor	WB	tlpq	2
Captain Lannery Storm	R	axkP	2
Zopandrel, Hunger Dominus	G	xbS	2
Neheb, the Eternal	R	pS	1
Vivi Ornitier	UR	cspWU	2
Shalai, Voice of Plenty	WG	cK	2
Xenagos, God of Revels	RG	b	2
Tataru Taru	W	arhU	2
Kogla, the Titan Ape	G	kbny	3
Junji, the Midnight Sky	B	gySD	3
Marwyn, the Nurturer	G	cyN	1
Kiki-Jiki, Mirror Breaker	R	q	2
Tekuthal, Inquiry Dominus	U	cS	2
Vorinclex, Monstrous Raider	G	b	3
Saryth, the Viper's Fang	G	W	2
Elenda, the Dusk Rose	WB	tcxSK	2
Liberator, Urza's Battlethopter	C	caR	3
Rosie Cotton of South Lane	W	caU	2
Mahadi, Emporium Master	BR	aS	1
Alexios, Deimos of Kosmos	R	cbnU	2
Thassa, Deep-Dwelling	U	fb	3
Magda, Brazen Outlaw	R	ay	2
Mikaeus, the Unhallowed	B	tyS	2
Teysa Karlov	WB	tf	2
Kambal, Consul of Allocation	WB	sl	1
Sephiroth, Fabled SOLDIER	B	lxkrpU	3
Laelia, the Blade Reforged	R	ckS	2
Valgavoth, Terror Eater	B	xbSD	3
Baral, Chief of Compliance	U	srW	2
Atarka, World Render	RG	vbyD	1
Ulamog, the Ceaseless Hunger	C	kbD	2
Jadar, Ghoulcaller of Nephalia	B	tW	1
Wan Shi Tong, Librarian	U	crCSU	3
Kinnan, Bonder Prodigy	UG	yN	3
Sephara, Sky's Blade	W	bK	2
Rankle, Master of Pranks	B	xkr	3
Electro, Assaulting Battery	R	sU	3
Ulamog, the Infinite Gyre	C	nbD	3
Atsushi, the Blazing Sky	R	abSD	3
Glissa Sunslayer	BG	krnSN	3
Adrix and Nev, Twincasters	UG	WP	1
Koma, Cosmos Serpent	UG	txnbP	3
Miirym, Sentinel Wyrm	URG	qybSD	1
Beledros Witherbloom	BG	tldD	2
Lae'zel, Vlaakith's Champion	W		2
Iroas, God of Victory	WR	kb	3
Isshin, Two Heavens as One	WBR	fK	1
Thalia, Heretic Cathar	W		1
Odric, Lunarch Marshal	W	vb	3
Meren of Clan Nel Toth	BG	cgx	3
Feldon of the Third Path	R	gq	2
Drana, Liberator of Malakir	B	ckS	1
Ojer Axonil, Deepest Might	R	b	3
Uro, Titan of Nature's Wrath	UG	glkdrbD	2
Myrel, Shield of Argive	W	tkny	2
Codsworth, Handy Helper	W	evRU	2
Ashling, Flame Dancer	R	srp	3
Malcolm, Alluring Scoundrel	U	krP	2
Ganax, Astral Hunter	R	ayD	2
Morophon, the Boundless	WUBRG	yb	3
Tergrid, God of Fright	B	gxp	3
Losheel, Clockwork Scholar	W	ar	2
Kozilek, the Great Distortion	C	rnbD	2
Phelia, Exuberant Shepherd	W	ckfC	2
Ulamog, the Defiler	C	cxbD	3
Chainer, Nightmare Adept	BR	g	2
Mazirek, Kraul Death Priest	BG	cx	1
Tetsuko Umezawa, Fugitive	U		1
Maelstrom Wanderer	URG	zb	1
Surrak and Goreclaw	G	cbC	2
Talion, the Kindly Lord	UB	r	2
Grenzo, Havoc Raiser	R	kh	3
Zetalpa, Primal Dawn	W	vbD	1
Haliya, Guided by Light	W	alr	2
Cloud, Midgar Mercenary	W	vfU	2
Shigeki, Jukai Visionary	G	gdN	3
Massacre Girl	B	x	2
Ardenn, Intrepid Archaeologist	W	ev	2
Massacre Girl, Known Killer	B	xr	2
Gwenna, Eyes of Gaea	G	cbN	2
Giada, Font of Hope	W	cyK	2
The Gaffer	W	rU	1
Delina, Wild Mage	R	tkzqN	3
The Locust God	UR	tr	3
Jin-Gitaxias, Core Augur	U	r	2
Jin-Gitaxias, Progress Tyrant	U	sq	3
Jaxis, the Troublemaker	R	rq	2
The Scarab God	UB	gnpqy	3
Daxos, Blessed by the Sun	W	lx	1
Urabrask the Hidden	R		1
Honest Rutstein	BG	gbW	1
Aurelia, the Law Above	WR	lrK	2
Bartolomé del Presidio	WB	cxSK	1
Vorinclex, Voice of Hunger	G	bn	2
Ghalta and Mavren	WG	tkbSD	3
Zacama, Primal Calamity	WRG	lbdnD	3
Grand Arbiter Augustin IV	WU	n	2
Kami of the Crescent Moon	U	rS	1
Alesha, Who Laughs at Fate	BR	cgk	2
Lyra Dawnbringer	W	yK	3
Urabrask	R	gsaef	3
Bennie Bracks, Zoologist	W	rN	1
Drivnod, Carnage Dominus	B	gfbS	2
Multani, Yavimaya's Avatar	G	gbd	2
Juri, Master of the Revue	BR	cxp	1
Passionate Archaeologist	R	p#	2
Razaketh, the Foulblooded	B	xbS	1
Korvold, Fae-Cursed King	BRG	cxkrD	2
Emrakul, the Promised End	C	gboD	2
Kazuul, Tyrant of the Cliffs	R	tk	2
Tannuk, Memorial Ensign	RG	drp	2
Drana and Linvala	WB	SK	2
Dragonlord Dromoka	WG	nD	2
Jarad, Golgari Lich Lord	BG	gxpSN	2
Breena, the Demagogue	WB	crCW	2
Arwen, Weaver of Hope	G	cNU	1
Teshar, Ancestor's Apostle	W	gC	1
Maha, Its Feathers Night	B	bC	2
Inti, Seneschal of the Sun	R	ckbK	2
Grazilaxx, Illithid Scholar	U	krS	2
Sheoldred	B	exnf	3
Varragoth, Bloodsky Sire	B	S	1
Mikaeus, the Lunarch	W	c	2
Ob Nixilis, the Fallen	B	cdS	1
Daretti, Scrap Savant	R	gaxr	3
Venser, Shaper Savant	U	W	1
Thassa, God of the Sea	U		3
Ojer Kaslem, Deepest Growth	G	kbd	3
Chameleon, Master of Disguise	U	qU	1
Knuckles the Echidna	R	avkbU	2
Arixmethes, Slumbering Isle	UG	bDP	3
Halana and Alena, Partners	RG	c	2
Nashi, Moon Sage's Scion	B	ko	2
Gix, Yawgmoth Praetor	B	r	3
Sakashima the Impostor	U	q	2
Gonti, Lord of Luxury	B		3
Magda, the Hoardmaster	R	tax	2
Akiri, Fearless Voyager	WR	vkr	2
Eladamri, Korvecdal	G	N	3
Sarkhan, Soul Aflame	UR	qy	2
Pearl-Ear, Imperial Advisor	W	erC	2
Liesa, Forgotten Archangel	WB	xK	2
Nissa, Resurgent Animist	G	dyN	3
The Walls of Ba Sing Se	C	RU	1
Bruvac the Grandiloquent	U		1
The Council of Four	WU	tr	2
Mina and Denn, Wildborn	RG	bdN	2
Lathril, Blade of the Elves	BG	tlkpyN	2
Selvala, Explorer Returned	WG	lrhN	2
Balmor, Battlemage Captain	UR	tsbCW	1
Brudiclad, Telchor Engineer	UR	tqR	2
The Mindskinner	U	mbS	2
Ruby, Daring Tracker	RG	kb	2
Koma, World-Eater	UG	tkbP	2
Kitsa, Otterball Elite	U	srqCW	3
Jetmir, Nexus of Revels	WRG	tvbCS	3
Klauth, Unrivaled Ancient	RG	kD	2
Kwain, Itinerant Meddler	WU	lrhCW	1
Lier, Disciple of the Drowned	U	gsW	2
Prosper, Tome-Bound	BR	aW	2
Squee, the Immortal	R	g	1
Arabella, Abandoned Doll	WR	lkpR	2
Dragonhawk, Fate's Tempest	R	kbpCD	3
Valgavoth, Harrower of Souls	BR	crSD	2
Niv-Mizzet, Visionary	UR	rDW	2
Agent of the Iron Throne	B	p#	2
Aerith Gainsborough	W	clU	2
Brago, King Eternal	WU	kfS	2
Plargg and Nassari	R		3
Kokusho, the Evening Star	B	lpSD	1
Thalia, Guardian of Thraben	W	sn	1
Lord Skitter, Sewer King	B	tgnoy	2
Rograkh, Son of Rohgahh	R	b	1
Toxrill, the Corrosive	UB	txrbS	3
The Lord of Pain	BR	l	2
Animar, Soul of Elements	URG	cb	2
General Kreat, the Boltbringer	R	tkpy	2
Orthion, Hero of Lavabrink	R	q	3
Odric, Master Tactician	W	k	2
Halvar, God of Battle	W	ev	3
Samwise Gamgee	WG	gaxU	2
Rev, Tithe Extractor	B	ak	3
Kona, Rescue Beastie	G		2
Mogis, God of Slaughter	BR	xb	2
Gishath, Sun's Avatar	WRG	kbyD	2
Ezuri, Renegade Leader	G	tbyN	1
Inga and Esika	UG	r	2
The Jolly Balloon Man	WR	q	3
Pantlaza, Sun-Favored	WRG	yD	2
Ilharg, the Raze-Boar	R	kbC	3
Bruna, the Fading Light	W	gSK	1
God-Eternal Oketra	W	tvS	2
Yuriko, the Tiger's Shadow	UB	kpy	2
Emrakul, the World Anew	C	obD	3
Ioreth of the Healing House	U	U	1
Atraxa, Praetors' Voice	WUBG	cSK	1
Kozilek, the Broken Reality	C	trbD	2
Bruenor Battlehammer	WR	v	2
Kogla and Yidaro	RG	gbrCDP	3
Niv-Mizzet, the Firemind	UR	rpDW	2
Yarok, the Desecrated	UBG	fS	2
Doc Aurlock, Grizzled Genius	UG	gCN	1
Thrasios, Triton Hero	UG	drWP	2
Ghoulcaller Gisa	B	txW	1
Alibou, Ancient Witness	WR	akpR	2
Mari, the Killing Quill	B	axkryS	3
Ureni of the Unwritten	URG	bSD	2
Karn, Legacy Reforged	C	aR	3
The Cabbage Merchant	G	saxU	2
Esika, God of the Tree	WUBRG		3
Lightning, Army of One	WR	kbU	2
Aclazotz, Deepest Betrayal	B	tkdrhC	3
Alandra, Sky Dreamer	U	tryWP	2
Imoti, Celebrant of Bounty	UG	bzN	1
Kellogg, Dangerous Mind	BR	akoU	2
Gonti, Night Minister	B	a	3
Tinybones, the Pickpocket	B	koS	2
Baird, Steward of Argive	W	n	1
Chulane, Teller of Tales	WUG	drnN	2
Kaervek the Merciless	BR	p	1
Rakdos, Lord of Riots	BR	bnS	2
Linvala, Keeper of Silence	W	K	1
Gisela, the Broken Blade	W	SK	2
Camellia, the Seedmiser	BG	tcxyCW	3
Baylen, the Haymaker	WRG	tcbrC	2
The Ur-Dragon	WUBRG	krybD	3
Y'shtola Rhul	U	nfCNU	2
Ygra, Eater of All	BG	clxbC	2
Queen Marchesa	WBR	th	2
Dionus, Elvish Archdruid	G	cyN	2
Thrakkus the Butcher	RG	byD	1
Thalisse, Reverent Medium	WB	t	2
Rakdos, Patron of Chaos	BR	xbrhS	2
Questing Beast	G		3
Mirri, Weatherlight Duelist	WG	knC	2
Dwynen, Gilt-Leaf Daen	G	tlkyN	2
Anzrag, the Quake-Mole	RG	kbC	2
Skithiryx, the Blight Dragon	B	iSD	3
Freyalise, Llanowar's Fury	G	trn	3
Fynn, the Fangbearer	G	ki	1
Wilhelt, the Rotcleaver	UB	txryS	2
Greensleeves, Maro-Sorcerer	G	tdW	2
Pashalik Mons	R	txpy	2
Shadrix Silverquill	WB	tcvrD	3
Teval, the Balanced Scale	UBG	tgkdSD	2
Bugenhagen, Wise Elder	G	brU	2
Gandalf the White	W	afWU	2
Zul Ashur, Lich Lord	B	gSW	1
Gogo, Mysterious Mime	R	qWU	3
Caesar, Legion's Emperor	WBR	txkrpU	3
Tinybones, Bauble Burglar	B	goS	3
Y'shtola, Night's Blessed	WUB	slrpCWU	2
Vega, the Watcher	WU	rCS	1
Emiel the Blessed	WG	cfC	2
Dina, Soul Steeper	BG	lxpN	2
Sidisi, Undead Vizier	B	xS	2
Zack Fair	W	cvU	2
Danny Pink	U	crU	1
Gisa, Glorious Resurrector	B	W	2
Lurrus of the Dream-Den	WB	gCS	2
Carmen, Cruel Skymarcher	WB	cglxkS	2
Tifa Lockhart	G	bdU	1
Renata, Called to the Hunt	G	c	1
Prime Speaker Zegana	UG	cbrWP	2
Sovereign Okinec Ahau	WG	ckC	2
Deadpool, Trading Card	BR	rU	2
Inspiring Leader	W	t#	1
Zur the Enchanter	WUB	eW	2
Cid, Freeflier Pilot	W	gavU	2
Witch-king of Angmar	B	xnSU	2
Ratadrabik of Urborg	WB	xqySW	2
Glóin, Dwarf Emissary	R	axhU	2
Jolrael, Mwonvuli Recluse	G	trN	2
Otharri, Suns' Glory	WR	tcgky	3
Celestine, the Living Saint	W	glU	2
Jodah, the Unifier	WUBRG	W	3
Ink-Eyes, Servant of Oni	B	ko	2
Zhulodok, Void Gorger	C	bzD	1
Yenna, Redtooth Regent	WG	eqN	2
Reyav, Master Smith	WR	vk	1
Oswald Fiddlebender	W	axR	2
Derevi, Empyrial Tactician	WUG	kCW	2
Rionya, Fire Dancer	R	sqW	2
Athreos, God of Passage	WB	x	2
Farmer Cotton	WG	taU	1
The Goose Mother	UG	caxkrCD	3
Zellix, Sanity Flayer	U	tmS	2
Erebos, God of the Dead	B	lr	3
Syr Ginger, the Meal Ender	C	calbKR	3
Gwenom, Remorseless	B	kU	2
Abdel Adrian, Gorion's Ward	W	t	2
The Earth King	G	tkbdU	2
Rivaz of the Claw	BR	gCW	3
Tiamat	WUBRG	ybD	2
Eluge, the Shoreless Sea	U	skyP	3
Bria, Riptide Rogue	UR	sC	2
Arcanis the Omnipotent	U	rW	1
Kefka, Court Mage	UBR	xkrnWU	3
Xantcha, Sleeper Agent	BR	rnh	2
Hazel of the Rootbloom	BG	tqCN	2
Venat, Heart of Hydaelyn	W	crnDWU	3
Heartless Hidetsugu	R		1
Zurgo Stormrender	WBR	trp	2
Marrow-Gnawer	B	txy	1
Lagomos, Hand of Hatred	BR	tb	3
Toph, Hardheaded Teacher	RG	cgsU	2
Brimaz, King of Oreskos	W	tkC	2
Breeches, Eager Pillager	R	anyP	3
Malcolm, Keen-Eyed Navigator	U	ayP	2
Kenrith, the Returned King	WUBRG	cglbr	3
Light-Paws, Emperor's Voice	W	evC	2
Basim Ibn Ishaq	UB	ckrU	2
Goro-Goro, Disciple of Ryusei	R	tK	2
Kykar, Wind's Fury	WUR	tsxCW	2
Karametra, God of Harvests	WG	b	2
Ziatora, the Incinerator	BRG	axpbSD	2
Yedora, Grave Gardener	G	xN	2
Athreos, Shroud-Veiled	WB	x	3
Yargle and Multani	BG	bCS	1
Kess, Dissident Mage	UBR	gsW	2
Black Waltz No. 3	BR	spWU	1
Ramos, Dragon Engine	WUBRG	cDR	2
Gluntch, the Bestower	WG	carP	2
Edgar Markov	WBR	tcySK	2
Longshot, Rebel Bowman	R	spU	2
Tyvar, the Pummeler	G	bN	2
Kellan, the Fae-Blooded	WR	tev	2
Éowyn, Fearless Knight	WR	nKU	2
Ojer Pakpatiq, Deepest Epoch	U	s	3
Ms. Bumbleflower	WUG	crhC	2
Emet-Selch of the Third Seat	UB	gsDWU	2
Lavinia, Azorius Renegade	WU	sn	2
Satoru, the Infiltrator	UB	r	2
The Unagi of Kyoshi Island	U	rhPU	2
Vorel of the Hull Clade	UG	P	1
Gríma, Saruman's Footman	UB	skU	3
Kuja, Genome Sorcerer	BR	tspyWU	3
Pippin, Guard of the Citadel	WU	U	1
Endrek Sahr, Master Breeder	B	tW	2
Toph, Earthbending Master	G	ckdU	2
Jin-Gitaxias	U	serfy	3
Vorinclex	G	cebfy	3
Appa, Steadfast Guardian	W	tU	3
Ultima, Origin of Oblivion	C	kU	2
Surrak Dragonclaw	URG	b	3
Ezuri, Stalker of Spheres	UG	crN	1
Godo, Bandit Warlord	R	vky	2
Toph, the Blind Bandit	G	cdU	1
Fain, the Broker	B	tcaxW	3
Heliod, the Radiant Dawn	WU	ge	3
Betor, Kin to All	WBG	rpSD	3
Hope of Ghirapur	C	snR	2
Gisa, the Hellraiser	B	tyW	2
Zimone, Paradox Sculptor	UG	caW	2
Sisay, Weatherlight Captain	WUBRG		2
Sauron, the Dark Lord	UBR	txkrbSU	3
Zirda, the Dawnwaker	WR	nC	3
Kilo, Apogee Mind	WUR	cR	1
Nylea, God of the Hunt	G	b	3
Oviya, Automech Artisan	G	cab	2
Heliod, God of the Sun	W	t	3
Sigarda, Font of Blessings	WG	yK	3
Esior, Wardwing Familiar	U	nC	2
Bonny Pall, Clearcutter	UG	tkdrbD	3
Gimli of the Glittering Caves	R	cavkU	2
Ovika, Enigma Goliath	UR	tsbS	2
Aragorn, the Uniter	WURG	tU	3
Ertai Resurrected	UB	rnW	3
Iron Spider, Stark Upgrade	C	carRU	2
Neyali, Suns' Vanguard	WR	tvk	2
Spectacular Spider-Man	W	U	2
Slicer, Hired Muscle	R	vkhoRU	3
Fandaniel, Telophoroi Ascian	B	gsxhDWU	2
Zada, Hedron Grinder	R	sq	2
The Warring Triad	C	gbRU	2
Obyra, Dreaming Duelist	UB	py	2
Killian, Ink Duelist	WB	W	2
K-9, Mark I	U	CRU	2
Hamza, Guardian of Arashin	WG	cb	2
Thryx, the Sudden Storm	U	bD	2
Karumonix, the Rat King	B	iy	3
Maja, Bretagard Protector	WG	td	1
Mendicant Core, Guidelight	WU	aqR	2
Yeva, Nature's Herald	G	N	1
Edric, Spymaster of Trest	UG	rN	1
Trostani, Selesnya's Voice	WG	tlN	1
Roxanne, Starfall Savant	RG	kpCN	3
Toph, the First Metalbender	WRG	aU	1
Kaalia of the Vast	WBR		2
Dihada, Binder of Wills	WBR	ao	3
Wildsear, Scouring Maw	RG	ebz	1
Agent Frank Horrigan	BG	ckbU	2
Rona, Herald of Invasion	UB	bdrzW	3
Rhys the Redeemed	WG	tqN	2
Alela, Cunning Conqueror	UB	tkhyW	2
Clive, Ifrit's Dominant	R	brfU	3
Bello, Bard of the Brambles	RG	evkrCW	3
Commissar Severina Raine	WB	lxkrpU	2
Clavileño, First of the Blessed	WB	tkrS	2
Florian, Voldaren Scion	BR	S	3
Nylea, Keen-Eyed	G	b	3
O'aka, Traveling Merchant	U	rU	1
Sidisi, Brood Tyrant	UBG	tk	2
Krark, the Thumbless	R	szqW	2
Hashaton, Scarab's Fist	WUB	qSW	2
Arbaaz Mir	WR	lpU	1
Atraxa, Grand Unifier	WUBG	bK	2
Rashmi, Eternities Crafter	UG	N	2
Edgar, Charmed Groom	WB	tyS	3
Vincent Valentine	B	cxkbU	3
Ghyrson Starn, Kelermorph	UR	U	2
Calix, Guided by Fate	WG	cevkqN	3
Treebeard, Gracious Host	WG	calbNU	2
Prince Imrahil the Fair	WU	trU	1
God-Eternal Bontu	B	xrS	2
Vnwxt, Verbose Host	U	r	2
Shadowheart, Dark Justiciar	B	xrN	1
Omnath, Locus of the Roil	URG	cdry	2
Tormod, the Desecrator	B	tgSW	1
Guild Artisan	R	a#	2
Seizan, Perverter of Truth	B	rbS	1
Gogo, Master of Mimicry	U	qWU	2
Satoru Umezawa	UB		3
Jazal Goldmane	W	kC	1
Lathiel, the Bounteous Dawn	WG	cC	2
Kiora, the Rising Tide	U	tgkrP	2
The Necrobloom	WBG	tgdN	2
Korlessa, Scale Singer	UG	yDW	1
Elanor Gardner	G	adU	2
Ral, Monsoon Mage	UR	srzW	3
Lord of the Nazgûl	UB	tsySU	3
The Master, Multiplied	BR	tkU	2
Glarb, Calamity's Augur	UBG	gCW	3
Lyse Hext	WU	svU	2
The Wise Mothman	UBG	ckmU	2
Ardyn, the Usurper	B	gqyDU	2
Charix, the Raging Isle	U	nyDP	2
Bladewing the Risen	BR	gySD	2
Hermes, Overseer of Elpis	U	tskDWU	2
Astarion, the Decadent	WB	lpSN	3
Omnath, Locus of Mana	G		1
Garna, Bloodfist of Keld	BR	xrp	1
Lulu, Stern Guardian	U	cWU	1
MacCready, Lamplight Mayor	WB	lkbU	2
Yuna, Grand Summoner	WUG	cU	3
Laughing Jasper Flint	BR	C	3
Nekusar, the Mindrazer	UBR	rhSW	2
Ikra Shidiqi, the Usurper	BG	lkW	2
Squall, SeeD Mercenary	WB	gvkKU	2
Cadira, Caller of the Small	WG	tkb	1
Karazikar, the Eye Tyrant	BR	krnh	2
The Second Doctor	WU	rnhU	2
Mavren Fein, Dusk Apostle	W	tkyS	1
Saruman, the White Hand	UBR	tsyWU	1
Hakbal of the Surging Soul	UG	dryP	2
Spider-Punk	R	yU	3
Thalia and The Gitrog Monster	WBG	xkdrCS	3
Bumi, Unleashed	RG	kbdU	2
Unctus, Grand Metatect	U	tarR	3
Sliver Hivelord	WUBRG	y	1
Yes Man, Personal Securitron	W	trhRU	3
Fire Lord Azula	UBR	sqU	1
Sygg, River Cutthroat	UB	rP	1
Tegwyll, Duke of Splendor	UB	ry	2
Prava of the Steel Legion	W	tC	2
Svyelun of Sea and Sky	U	ryP	2
Tevesh Szat, Doom of Fools	B	txro	3
Aang, Swift Savior	WU	ckbU	3
Maester Seymour	G	cNU	2
Reya Dawnbringer	W	gK	1
Preston, the Vanisher	W	nqCW	2
Jegantha, the Wellspring	WUBRG	C	2
Karlov of the Ghost Council	WB	clnS	1
Tidus, Yuna's Guardian	WUG	ckrU	3
Neheb, Dreadhorde Champion	R	kbrS	2
Vohar, Vodalian Desecrator	UB	gslrpWP	3
Baldin, Century Herdmaster	W	k	2
Noble Heritage	W	ch#	2
Sorin of House Markov	WB	alpo	3
Zur, Eternal Schemer	WUB	eW	2
Arahbo, the First Fang	W	tyC	1
Ob Nixilis, Unshackled	B	cxbS	2
Alisaie Leveilleur	W	WNU	2
Gisa and Geralf	UB	gW	1
General Ferrous Rokiric	WR	t	1
Joshua, Phoenix's Dominant	WR	grfpWU	3
Minsc & Boo, Timeless Heroes	RG	tcxbrp	3
Gadrak, the Crown-Scourge	R	anD	2
Eriette of the Charmed Apple	WB	elnpW	2
Traxos, Scourge of Kroog	C	bnR	2
Squee, Goblin Nabob	R	g	1
Old Stickfingers	BG	gS	3
Folk Hero	W	ryU#	2
Irma, Part-Time Mutant	U	cqU	2
Shay Cormac	WB	cxKU	3
Tifa, Martial Artist	WRG	kbU	2
Hapatra, Vizier of Poisons	BG	tk	2
Red XIII, Proud Warrior	RG	gevbU	2
Nils, Discipline Enforcer	W	cn	3
Ozai, the Phoenix King	BR	bU	2
Muxus, Goblin Grandee	R	ky	3
Sephiroth, Fallen Hero	WR	gxkbU	3
Shalai and Hallar	WRG	cNK	2
Krang, Utrom Warlord	C	abRU	1
Titania, Nature's Force	G	tgyb	2
Rikku, Resourceful Guardian	U	U	3
Alania, Divergent Storm	UR	srqyCW	2
Zo-Zu the Punisher	R	d	1
Beza, the Bounding Spring	W	talrC	3
Queen Allenal of Ruadach	WG	tN	2
Faldorn, Dread Wolf Herald	RG	tN	2
Erebos, Bleak-Hearted	B	xr	3
Aragorn, King of Gondor	WUR	knhU	2
High Perfect Morcant	BG	cyN	2
Amalia Benavides Aguirre	WB	lnS	1
Jan Jansen, Chaos Crafter	WBR	taxR	2
Anara, Wolvid Familiar	G		1
Tromell, Seymour's Butler	G	cNU	2
Omnath, Locus of Creation	WURG	ldrp	3
Elesh Norn	W	tevxnf	3
Kopala, Warden of Waves	U	nyWP	2
Vraan, Executioner Thane	B	lxpS	2
Kefka, Dancing Mad	BR	zpobWU	3
Tymna the Weaver	WB	r	2
Wilson, Refined Grizzly	G	bC	3
Master Chef	G	c#	2
Lozhan, Dragons' Legacy	UR	pyD	2
Wyll, Blade of Frontiers	R	czW	2
The First Sliver	WUBRG	zyb	1
Golbez, Crystal Collector	UB	gapWU	3
Gargos, Vicious Watcher	G	byD	2
Felothar the Steadfast	WBG	xr	3
Emperor Mihail II	U	tyP	2
Papalymo Totolymo	WB	slxbpWU	2
Galadriel, Light of Valinor	WUG	crNU	3
Haru, Hidden Talent	G	yU	1
Azami, Lady of Scrolls	U	ryW	1
Neyith of the Dire Hunt	RG	br	2
Bayek of Siwa	WR	vU	2
The Gitrog, Ravenous Ride	BG	xkbdrCS	3
Tavern Brawler	R	#	2
Firion, Wild Rose Warrior	R	vqU	2
Vincent, Vengeful Atoner	R	ckzU	2
Baeloth Barrityl, Entertainer	R	axN	2
Szarel, Genesis Shepherd	BRG	cgxdN	2
Dion, Bahamut's Dominant	W	tcnfyKU	3
Ao, the Dawn Sky	W	caSD	3
Yoshimaru, Ever Faithful	W	cC	1
Grumgully, the Generous	RG	cy	1
Pippin, Warden of Isengard	BG	taU	2
Yuna, Hope of Spira	WG	gebU	2
Cayth, Famed Mechanist	WUR	tc	3
Helga, Skittish Seer	WUG	clrCN	3
Jinnie Fay, Jetmir's Second	WRG	tN	2
Baron Bertram Graywater	WB	txrS	2
Reki, the History of Kamigawa	G	r	1
Teysa, Orzhov Scion	WB	txn	2
Merry, Esquire of Rohan	WR	vkrKU	2
Teferi, Temporal Archmage	U		3
Teferi, Mage of Zhalfir	U	W	2
Keiga, the Tide Star	U	oSD	1
Urza, Prince of Kroog	WU	taq	2
Torens, Fist of the Angels	WG	t	1
Urabrask, Heretic Praetor	R	r	3
Gyruda, Doom of Depths	UB	mbSDP	2
